# Generated from Radheef (radheef.siyamex.com) by scripts/build_definitions.py — do not edit by hand.
ހަ	(ނ) ހަދޯނި
ހިފަހައްޓައިލުން	(3) ދިޔަނުދީ މަޑުކުރުވުން
ހިފައިއެޅުން	) އެންއުކާން ހުންނަ މީހާގެ ވަށްޓަށް އެން ހިފައިފައި އަޅައި ދިނުން
ހިފައިލުން	(2) ކުޑަކޮށް ހިފުން
ހިފައިގަތުން	(4) ފޭރިގަތުން
ހިފައިގެންގުޅޭ ތަކެތި	އަލަމާރި ފަދަ ތަކެތި ފިޔަވައި ގޭތެރޭ ގެންގުޅޭ ކުދިސާމާނު
ހިފިހުރުން	(ށ) ދިޔަހިފި ހުރުން
ހިފުން	(6) ހަރުލުން
ހިފެހެއްޓިހުރުން	(3) ގުޑާނުލާ ހުރުން
ހިފެހެއްޓުން	(3) ދިޔަނުދީ މަޑުކުރުވުން
ހިދާޔަތު	ތެދުމަގ
ހިދާޔަތް ދެއްވުން	ތެދުމަގު ދެއްކެވުން
ހިދާޔަތްލިބުން	(2) ސަލާމަތުގެ މަގުފެނުން
ހިދުރި	) ހިނދުރި
ހިދެ	) ހިނދު
ހިތަ	(2) ހުޅަނގު މޫސުމުގެ ސާދަވަނަ ނަކަތް
ހިތަހިތައިގެން	ހިތަށް އަރުވައަރުވައިގެން
ހިތަހިތަފެއިދިނުން	) ހިއްތުން
ހިތަށްއެރުން	(2) ހިތްމައްޗަށް އައުން
ހިތަށްއެރުވުން	(2) ހަނދާނަށް ގެނައުން
ހިތަށްފިނިކަންލިބުން	(2) ހިތަށް އުފާވެރިކަން ލިބުން
ހިތަށްތަދުވުން	(2) ހިތްދަތިވުން
ހިތަށްތަދުވުން	(2) އަނެކަކު ކުޅަކަމަކުން ތިމާގެހިތަށް މޮޅިވެރިކަން ލިބުން
ހިތަނަކަތް	ނ
ހިތަންމޭރެ	) ހިތަމިޔަރު
ހިތަކަށްބިތަކަށް	(2) ހިތަށްއެރިގޮތަކަށް
ހިތަކަށްބިތަކަށްތެޅުން	) (1) ހިތުހުރިގޮތަކަށް އުޅުން
ހިތަމިޔަރު	) ކަޅުތިކިތަކެއް ހުންނަ ރީނދޫ ކުލައިގެ މިޔަރެއް
ހިތާ	(4) "ހިތުން" މިބަހުގެ އަމުރު
ހިތާނުވަޅު	އިހުގައި ދިވެހިގޮތަށް އަޅައިފައި ހުންނަ ގޭގޭގައި މައިދޮރާ އެންމެ ކައިރިޔަށް ބޮޑުއަށީގައި އިށީނދެވެން ހުންނަ ތަން
ހިތާކުޅެލުން	(2) ހިތަށް އަސަރުކުރުވައިފައި ވަކިވެގެންދިއުން
ހިތާވުން	(3) ޤަބޫލުވުން
ހިތާމަ	ހިތަށް ލިބޭ ގަދަ މޮޅިވެރިކަން
ހިތާމަކުރުން	މޮޅިވެރިކަން ހިތަށް ގެނައުން
ހިތާމަވުން	މޮޅިވުން
ހިތާމަވެރި	މޮޅިވެރި
ހިތި	(11) "ހިތުން" މިބަހުގެ ނިމިނިމުނުކަން
ހިތިހުންބޭސް	އެހުންނާއި މަޑުފިޔާތޮށި ކުލައިގައެވެ
ހިތިހެދުން	(2) ހެއި އަރުވައިލުން
ހިތިރަހަ	(2) ފޮނިރަހައިގެ އިދިކޮޅު
ހިތިރަހަދިނުން	ހިތިރަހަ ލުން
ހިތިރަހަލުން	ހަބަރު ރަހަ ދިނުން
ހިތިބަދަން	ބޭހަށް ބޭނުންކުރަނީ އެތެރޭގެ މަދެވެ
ހިތިބޯ	މީގެ ދެއަރިމަތީގައި ރިހިކުލައިގެ ފުޅާ ރޮނގެއް ހުރެއެވެ
ހިތިކަށި	ހިކިއަނަރޫފަ
ހިތިކަން	(2) މަޖާޒު: ހިތަށް މާބޮޑަށް އަސަރުކުރަކޮށްފައިވާކަން
ހިތިކަރުނަ	(2) މަޖާޒު: ނުލާހިކު ގަދަހިތާމަ
ހިތިއެޅުން	ވަޅު ފަދަ ފެންފެންގަނޑުގައި ހިތި އުފެދުން
ހިތިވަނުން	(2) ހިތީގެ ހަވަނަ މާނަ ބަލާ
ހިތިވިލޭރޭ	ހިތިދުވަހާ ވިދިގެން އަންނަރޭ
ހިތިވުން	(3) މަޖާޒު: ނުބައިވުން
ހިތިމަދި	(2) މަދަވާ
ހިތިފަތުބުމަ	ބުމަ ރީތިކަމުގެ މައްޗަށް ދޭ މިސާލެއް
ހިތިފިލުން	(2) މަޖާޒު: ކުށެއް ވުމުގެ ސަބަބުން މީހަކަށް މާނާވީ ހުރިހާ ކަމަކުން ސަލާމަތްވުން
ހިތިފިލުވުން	ބައެއް ތަރުކާރީގައި ހުންނަ ހިތިރަހަ އެއިން ވަކިކޮށް ސާފުކުރުން
ހިތިދަނޑި	އިނގިރޭސިބަހުން މިގަހަށް ކިޔަނީ ސިންކޯނާއެވެ
ހިތިދަމުއި	މިއަށް ހިތިދަމުޔޭކިޔަނީ ހިތި ކައްކާއިރު އެއަށް އަޅަން ބޭނުންކުރާ އެއްޗަކަށްވާތީއެވެ
ހިތިދުވަސް	92 މިރޭ ތަކުގައެވެ
ހިތިތެޔޮ	މިތެޔޮހަދަނީ ހިތިގަހުގެ ފަތާ މަލާ ދަނޑީގެ ތޮއްޓާ ހުރިހާ އެއްޗެއް އެއްކޮށްގެންނެވެ
ހިތިތޮރާ	ކާންކެރޭ ވަރަށްވުރެ އެތޮރައިގެ ރަހަ ހިތިވާނެއެވެ
ހިތިގަސް	ފަތުގައި ވަރަށް ގިނަ ގަދަ ހިތިރަހައެއް ހުންނާނެއެވެ
ހިތިގެ	ބޮޑު ދެ ހިތީގައި ރަދުން ހިއްޗަށް ވަޑައިގެން ހުންނަވާން އަޅާ ވަގުތީ ގެކޮޅެއް
ހިތިގޮބޮޅި	(2) ވަނދު ގޮބޮޅި
ހިތީބެރު	ހިތީ ކިޔަވާންދާން އެންގުމަށް ހިތިދުވަހު ޢަޞުރަށް ގޮވީމާ ޖަހާއުޅުނު ބެރު
ހިތީބޯޓް	މިސާލު: ފޮތްތެރިއަކަށް ނުވާ މީހަކު ފޮތްތަކެއް އެއްކޮށްގެން ފޮތްތެރިއަކަށް ހެދިގެން އުޅުން
ހިތީކިޔެވުން	ކަމުވޮށިނުވޮށީން އެދުވަހު ހިއްޗަށް ވަޑައިގަންނަވާ ޒިޔާރަތެއްގެ ކައިރީގައި ފޮތް ފޮއްޓެއް ކިއެވުން
ހިތީކުޅި	ހިތި ދުވަހާއި ހިތި ވިލޭރޭގެ ކުޅިވަރު
ހިތީކޭން	މި ކޭމާއި ފާރުދޮށުކޭމާ ހުންނަ ތަފާތަކީ މިކޭޜުގައި ހިތި ހުންނަކަމެވެ
ހިތީކޮލި	ކިއަވާންވީ ތަނަށް ދާން އެނގުމަށް ލާ ކޮލި
ހިތުހުރިގޮތް	ހިތަށްއެރި ކޮންމެގޮތެއް
ހިތުނިޔަތް	(2) އަޅުކަންކުޅައުމަށް ހިތުންކުރާ ގަސްތު
ހިތުނިޔަތްގަތުން	(1) ހިތުން ގަސްތުކުރުން (2) އަޅުކަމަކަށް ފަށާއިރު އެކަން ހިތުގައި ގަސްތުކުރުން
ހިތުނެތްގޮތް	މިސާލު: އައްޔަށް އެ މާވަހަރު ހޮވުނުފަހުން އެ އާއިލާ ހިތުނެތްގޮތަށް ދިރިއުޅެމުން ގެންދެއެވެ
ހިތުން	ހީކުރުން
ހިތުން ތެދުކުރުން	(3) ޝައްކެއްނެތުން
ހިތުންހިތަށް	އެކެއްގެ ހިތުން އަނެކެއްގެ ހިތަށް
ހިތުންކިޔުން	ނުބަލާ ކިޔުން
ހިތުންފިލުން	(2) ކަމަކާމެދު ނުވަތަ އެއްޗަކާމެދު ހިތުގައި އުފެދިފައިވާ ޝައުޤުވެރިކަން ނެތިގެންދިއުން
ހިތުންފިލުވައިލުން	ހިތުންފޮހެލުން
ހިތުންފިލުވުން	(2) ކަމަކާ ނުވަތަ އެއްޗަކާމެދު ހިތުގައި އުފެދިފައިވާ ޝައުޤުވެރިކަން ނައްތައިލުން
ހިތުންފޮހެލުން	ހިތުންފިލުވުން
ހިތުވަފެއިދިނުން	(2) ދިއްކޮށްލާފައިދިނުން
ހިތުވިޔަ	ހިތުން ކުރާ ހިސާބު
ހިތުފާހަގަ	(2) ކަމަކަށް ބޭނުންވެގެންވާ ސާމާނާއި ނުލައި އެކަމަށް ހިތުން ކުރާލަފާ
ހިތުދަސްކުރުން	(2) ނުބަލާ ކިއޭވަރަށް ދަސްކުރުން
ހިތުދަސްވުން	(2) ނުބަލާ ކިއޭ ވަރަށް ދަސްވުން
ހިތުލަފާ	(2) މީހެއްގެ ހިތަށް ފެންނަގޮތް
ހިތުލީބޮލިނެގުން	(2) މަޖާޒު: މީހަކާ ހިތާވެގެން އެކަން ފާޅުނުކޮށް ހުރެހުރެފައި އެމީހަކާ އިންނަ އިނުން
ހިތުލޭބާ	) ކަނޑި ފަދަ ތަކެތި
ހިތުލޭފަ	ހިތުލޯބި
ހިތުލޯބި	އާދަމުގެ ދަރިވަންތަކަމުގެ ލޯބި
ހިތުލޯބިޖެހުން	އާދަމުގެ ދަރިވަންތަކަމުގެ ލޯބި އުފެދުން
ހިތުލޯތްބަށްދިނުން	(2) ހަމަހިލޭދިނުން
ހިތުގައިޖެހުން	(2) އަނެކަކު ކުޅަ ކަމަކުން ތިމާގެ ހިތަށް މޮޅިވެރިކަން ލިބުން
ހިތުގިނި	(2) އަނެކަކަށް ރަގަޅުކަމެއް ލިބޭތީ ތިމާގެ ހިތަށްވާތަދު
ހިތުގިލަން	(2) ނުފިލާހުންނަގަދަމޮޅި
ހިތުގެބަލި	(2) މަޖާޒު: އިޝްޤީބަލި
ހިތެކަންޓާ	) މަހުގެ ހިތިކަށިގަނޑު
ހިތެއްފިތެއްނެތުން	(3) ބިރެއް ސިހުމެއް ނެތުން
ހިތެއްފިތެއްނެތް	(3) ބިރެއް ސިހުމެއް ނެތް
ހިތޭރި	(2) ހިތްވަރުގަދަ
ހިތް	(3) ބޭނުން
ހިތްހަށިހަމަވުން	(2) ހިތްގައިމު ކަންލިބުން
ހިތްހަރު	(3) ހަރުކަށި
ހިތްހައްޓާބެދުން	(2) ހިތްހަށިހަމަޖެހުން
ހިތްހަމަޖެހުން	(2) ހިތްރުހޭ ގޮތްވުން
ހިތްހަލާކުކުރުން	(2) ހިތަށް މާބޮޑަށް އަސަރުކުރާނެގޮތް މެދުވެރިކުރުން
ހިތްހަލާކުވުން	މަޖާޒު: ހިތަށް ހިތި އަސަރެއް ކުރުން
ހިތްހަލާލު ހޯދުން	މިކަމަކީ ފިރިމީހާގެ ކިބައިން އަނބިމީހާ މައިންބަފައިންގެ ކިބައިން ދަރިން އެދުރުންގެ ކިބައިން ދަރިވަރުން ލިބިގަންނަ ކަމެކެވެ
ހިތްހިތަކަށް	(2) ހިތަށްއެރިހާ ގޮތަކަށް
ހިތްހިތަކަށްވުން	(2) ބަޔަކު މީހުންގެ ހިތަށްއެރިހައި ގޮތަކަށް ކަންކުރެވޭގޮތްވުން
ހިތްހިތެކޯތް!	(2) ބޭނުންމީހަކު ގެންދާށޭ
ހިތްހިތެކޯގޮވުން	(2) ބޭނުންމީހަކު ބޭނުން ވަރަކަށް ގެންދާށޭ ގޮވައިލުން
ހިތްހުއްޓުން	ހިތުގެ ހިނގުން ބަންދުވުން
ހިތްހެއު	ހިތްހެޔޮ
ހިތްހެޔޮ	(3) ހިތުގައި ނުބައެއްނުވާ
ހިތްހެޔޮކަން	(2) އޯގާވެރިކަން
ހިތްހެޔޮކުރުން	މިހެންބުނެފިނަމަ އޭގެމާނައަކީ ހަނދާންނައްތާލާށޭ މިއެވެ
ހިތްހެޔޮވުން	(3) ހިތުގައި ނުބައިއެއްނުވުން
ހިތްނުބައި	(5) ރުޅިވެރި
ހިތްނުބައިކަން	(4) ހިތުގައި އުފެދޭ ރުޅިވެރިކަން
ހިތްނުބައިކުރުން	މ
ހިތްނުބައިވުން	(4) ރުޅިވެރިކަން އުފެދުން
ހިތްރުހުން	ހިތްޤަބޫލުވުން
ހިތްރުއްސުން	ގަބޫލުކުރުވުން
ހިތްރޮއްވުން	ހިތަށް ހިތި އަސަރެއްކުރުވުން
ހިތްބަންޑުންކުރުން	(2) ލޯބި ފާޅުކުރުން
ހިތްބަރު	(3) ހިތްހެޔޮނޫން
ހިތްބަރުކުރުން	(3) ހިތްނުބައިކުރުން
ހިތްބަރުވުން	(2) ހިތްނުބައިވުން
ހިތްބަލި	(3) ހިތްވަރު ދެރަ
ހިތްބަލިވުން	(3) ކަންތަކާ މާބޮޑަށް ދެރަވުން
ހިތްބިރު	ނުވަތަ ސަބަބެއްނެތި ބިރުގަނެއެވެ
ހިތްބިރުގަތުން	އެއްވެސް ކަމެއް ނުވަތަ ސަބަބެއްނެތި ބިރުގަތުން
ހިތްކަޅު	ހިތްނުބައި
ހިތްކާފަރުކުރުން	މަޖާޒު: ޝަހްވާނީ ޚިޔާލު ހިތަށް ވެއްދުން
ހިތްކާފަރުވުން	މަޖާޒު: ޝަހްވާނީ ޚިޔާލު ހިތަށް ވަނުން
ހިތްކިއުން	(2) ހިތްޖެހުން
ހިތްކިޔުން	(4) ބޭނުންވުން
ހިތްކުޑައިކުރުން	(2) މޮޅިވުން
ހިތްކެނޑުން	(2) ލޯބިކެނޑުން
ހިތްކޮށި	(2) ހިތްގައު
ހިތްކޮށިކަން	ދަސްކުރުމުގެ ބާރު ކުޑަކަން
ހިތްއަވަސްވުން	(3) ކެތްތެރިކަން ކުޑަވުން
ހިތްއަތުލުން	(2) ތިމާގެ މައްޗަށް ހިތްލެންބުން
ހިތްއަލި	(2) މޭދާ ގަދަ
ހިތްއަލިކަން	(2) މޭދާގަދަކަން
ހިތްއަލިވުން	(2) މޭދާގަދަވުން
ހިތްއުފާ	(3) މޮޅީގެ އިދިކޮޅު
ހިތްއުފާކަން	(2) ހިތްހަމަޖެހޭކަން
ހިތްއުފާކުރުން	ހިތްފަސޭހަކުރުން
ހިތްއުފާވުން	(2) ހިތްހަމަޖެހުން
ހިތްވަރު	(2) ކަންތަކާއި ކުރިމަތިލާން ކެރޭކެރުން
ހިތްވަރުހުރުން	(2) ކަންތަކާއި ކުރިމަތިލާން ކެރުން
ހިތްވަރުކުރުން	(2) ކުރާކަމެއްގައި ދޫނުކޮށް ހިފެހެއްޓުން
ހިތްވަރުއެލުން	(3) ހިތްވަރު ދެރަވުން
ހިތްވަރުދިނުން	(2) ބަހުން ނުވަތަ ކަމުން އަނެކަކަށް ބާރުދިނުން
ހިތްވަރުލިބުން	(2) ކަންތަކާ ކުރިމަތިލާން ކެރޭ ސިފަ އުފެދުން
ހިތްވަރުގަދަ	(4) ބިރުކުޑަ
ހިތްވަރުގަދަކަން	(4) ބިރުކުޑަކަން
ހިތްވުން	(3) ކަމަކަށް އެދުންވެރިވުން
ހިތްމަރުވުން	މާޔޫސްވުން
ހިތްމައްޗަށްގެނައުން	(2) ހަނދާނަށް ގެނައުން
ހިތްމޮޅިވުން	(3) ކަމަކާދެރަވުން
ހިތްމޮޅު	(3) ތިމާއަށް ތިމާ ފެނިފައި ހުންނަ
ހިތްމޮޅުކަން	(3) ތިމާއަށް ތިމާ ފެނިފައި ހުންނަކަން
ހިތްމޮޅުވުން	(3) ތިމާއަށް ތިމާ ފެނުން
ހިތްފަހި	(3) ހިތްއަލި
ހިތްފަހިކަން	(3) ހިތްއަލިކަން
ހިތްފަހިވުން	(3) ހިތްއަލިވުން
ހިތްފަޅައިގެންދިއުން	(2) ހިތަށް މާބޮޑަށް ވޭނާއި ކެކުޅުން ލިބުން
ހިތްފަސޭހަ	(4) ހިތްއަލި
ހިތްފަސޭހަވުން	(4) ހިތްއަލިވުން
ހިތްފުރިއެރުން	(2) މާބޮޑަށް ހިތަށް ހަމަޖެހުމާއި ތަނަވަސްކަން ލިބުން
ހިތްފޮޅިގެންދިއުން	(2) މާބޮޑަށް އުފާވުން
ހިތްދަމައިގަތުން	(2) މީހެއްގައި ނުވަތަ އެއްޗެއްގައި ނުވަތަ ތަނެއްގައި ހުންނަ ގޮތަކުން ހިތުގައި ތަޢުރީފާއި އިސްތިޙުސާން އުފެދުން
ހިތްދަތި	(4) ހިތާމަ ލިބިގެންވާ
ހިތްދަތިކަން	(4) ހިތާމަ ލިބިގެންވާކަން
ހިތްދަތިކުރުން	(3) ފިކުރުބޮޑު ކުރުން
ހިތްދަތިވުން	(3) ފިކުރުބޮޑުވުން
ހިތްދިނުން	(2) މީހަކު ދެކެ މާބޮޑަށް ލޯބިވުން
ހިތްދެރަ	ހިތްބަލި
ހިތްދެރަވުން	ހިތްބަލިވުން
ހިތްތަރު	ހިތުގައިވާ ގޮތް
ހިތްތަރުބެލުން	ހިތްއޮތްގޮތް ބެލުން
ހިތްތަބަ	) ހިއްތަން
ހިތްތިރި	(3) އަދަބުވެރި
ހިތްތިރިކަން	(2) ބޮޑާކަމެއްނެތްކަން
ހިތްތިރިވުން	(2) ބޮޑާކަމެއް ނެތުން
ހިތްތުން	(3) އެކިއެކިގޮތް ގޮތުން ހިތްދަހި ކުރުވުން
ހިތްތޫނު	(2) ދަސްކުރުމުގެ ބާރުގަދަ
ހިތްތޫނުކަން	(2) ދަސްކުރުމުގެ ބާރުގަދަކަން
ހިތްތޫނުވުން	(2) ދަސްކުރުމުގެ ބާރު ގަދަވުން
ހިތްތެޅުން	(4) ހިތަށް ކުއްލިޔަކަށް އަސަރުކުރުން
ހިތްތެޅޭބަލި	(2) ޝައްކުބަލި
ހިތްގައިމު	(2) ހިތްއުފާ
ހިތްގައިމުކަން	(2) ހިތްއުފާކަން
ހިތްގައިމުވުން	(2) ހިތްއުފާވުން
ހިތްގައު	(2) ހިތްކޮށި
ހިތްގައުކަން	(2) ހިތްކޮށިކަން
ހިތްގައުވުން	(2) ހިތްކޮށިވުން
ހިތްގަދަ	(2) ކޮންމެ ފަދަ ކަމެއް ކުރުމަށް ވެސް ޖެހިލުމެއްނުވާ
ހިތްގަދަކަން	(2) ކޮންމެ ފަދަ ކަމެއް ކުރުމަށްވެސް ޖެހިލުން ނުވާކަން
ހިތްގަދަވުން	(2) ކޮންމެފަދަ ކަމެއް ކުރުމަށްވެސް ޖެހިލުންނުވުން
ހިތްގާ	ހިތްގައު
ހިތްސާފު	(2) އިޚްލާޞްތެރި
ހިތްސާފުކަން	(2) އިޚުލާޞްތެރިކަން
ހިތްސާފުކުރުން	(3) ހިތުގައިވާ ފޫހިކަމާއި ނަފުރަތު ފިލުވައިލުން
ހިތްސާފުވުން	(3) ހިތުގައިވާ ފޫހިކަމާއި ނަފުރަތުނެތުން
ހިތްޕުޅާވުން	ހިތްރުހުން މިބަހުގެ އެންމެމާތްގޮތް
ހިތްޖެހުން	(5) ލޯބިއުފެދުން
ހިތްޖެއްސުން	(2) ލޯބިޖެއްސުން
ހިލަ	(3) ހަށިގަނޑުގެ ތެރޭގެ ގުރުދާފަދަތަންތާގައި އުފެދޭ ކަށިނޫން ހަރުއެތިކޮޅުކޮޅު
ހިލަހިފުން	) ވަގުހިފުމަށް ހަދާ ފަންޑިތައެއް
ހިލަހިތް	(2) އޯގާވެރިކަމެއްނެތްހިތް
ހިލަނބަށްދިއުން	ފިރިހެނަކު ބޭރު ރަށަކުން މީހަކާ އިނދެފައި ރަށަށްއައިމާ އެފިރިހެނެއްގެ ޢާއިލާގެ މީހުން (މައިންބަފައިން ފިޔަވައި) އެއަންހެނަކުބަލައި އެމީހެއްގެ ރަށަށް ދިއުން
ހިލަނބުވެރިން	އަންހެނެއްގެ ޅިޔަންފަހަރި ކަމުގެ ގޮތުން ތިމާގެ މީހުން
ހިލަން	(4) "ހިލުން" މިބަހުގެ ވާކަން
ހިލަންހުވަން	(1) "ހިލަން" މިބަސްގަދަކުރާން ބުނާގޮތް
ހިލަންކުރުން	(2) ލިސާނެއްކޮށްލުން
ހިލަންވުން	(3) ޚަބަރެއްވުން
ހިލަބިން	ހިލައާއި ހިލަވެލިން ހެދިފައިވާ ބިން
ހިލަކަންމަސް	ފަނިހަންޖަށްވުރެ ދިގު އޭގެބާވަތެއް
ހިލަކަންފަތި	އެހެން ހަންޖަށްވުރެ މިމަހުގެ ކަޅުކުލަ ގަދަވާނެއެވެ
ހިލަކަރުދާސް	ލަކުޑިއާއި މަޢުދަނީ ތަކެއްޗާއި އެނޫންވެސް ބައެއް ތަކެތި އޮމާންކުރަން ގެންގުޅޭ އެއްފުށް ރާޅުކޮށް ހަދައިފައި ހުންނަ ކަރުދާހެއް
ހިލަކިހުނު	ނަމަވެސް ދެބަލީގައިމެ އަވަސް އަވަހަށް ކުޑަކަމުދާން ޖެހިފައި ކުޑަކަމުދާއިރު ތަދުވާގޮތްވާތީ ހިލަކިހުނޭ ކިޔާފައިވަނީއެވެ
ހިލަވަޅު	(4) ހިނގާ ދިޔަކަމެއްގެ އަސަރު
ހިލަވާލި	ދެފަރާތުގައި ހުންނަ ދެކޮތަރި ހަނދީގެ ކޮތަރިއަށްވުރެ ދިގުވެފައި ކަންފަތުން ބުރިކައްޓާ ގުޅިފައި ހުންނަބައިގެ އެތެރޭގައި ހިލައެއްހެން އޮންނަ ކަށިކޮޅެއް ހުންނާނެއެވެ
ހިލަވުން	(2) ހިލަޔަށްވުން
ހިލަވެލި	ހިލަބިމުގެ ވެލި
ހިލަމާދިއުން	(2) ބޭރުރަށްރަށުގައި ކުރާ ބޮޑެތި މަސައްކަތުގެ ޚަބަރުއިވިގެން ނުވަތަ އެހެން އަވަށެއްގައި ބޮޑުމަސައްކަތް ކުރާތީ އެކަމަށް ތަރުޙީބު ދިނުމަށް ހުރި އޮޅު ނުވަތަ ކޭން ހިފައިގެން ދިއުން
ހިލަފިހުން	ވައްކަން ތަފާސްކުރުމަށް ހަދާފަންޑިތައެއް
ހިލަފުށް	(2) ވަކަރުގެ ބޭރުފުށް
ހިލަފުއްޕުން	އެހެން ހެދުމަށްފަހު ކަނޑިއެއް ލޮންސިއެއް ނުވަންނަކަމަށް ބުނެވެއެވެ
ހިލަފޮތި	ހިލަކަރުދާސްހެން ހުންނަ ފޮއްޗެއް
ހިލަތިޔާގެބަލި	) ހިލަކިހުނު
ހިލަތޮށި	(ފަށް) (3) ބޮނބީގެ މަތީފަށް
ހިލަގައު	(2) ކަނޑުގެ އާނުގެ އަޑީގެ ހަރު ހުދު ގައު
